concept_id,ku_synonym_text,lang_tag
360391000009108,พยาธิเม็ดเลือด,ku
360391000009108,Blood parasite infection,ku
360391000009108,Ehrlichia,ku
360411000009108,พยาธิเม็ดเลือด,ku
360411000009108,Blood parasite infection,ku
360411000009108,Anaplasma,ku
95570007,นิ่วในไต,ku
95570007,นิ่วไต,ku
95570007,Renal calculi,ku
70650003,นิ่วในกระเพาะปัสสาวะ,ku
70650003,Cystic calculi,ku
70650003,Bladder stone,ku
235919008,นิ่วในถุงน้ำดี,ku
235919008,นิ่วถุงน้ำดี,ku
235919008,Gallstones,ku
17552000,นิ่วฟัน,ku
17552000,คราบหินปูน,ku
17552000,Dental calculus,ku
444690001,นิ่วสตรูไวท์,ku
444690001,Struvite urolithiasis,ku
357931000009103,Chronic renal failure,ku
357931000009103,CRF,ku
357931000009103,โรคไตเรื้อรัง,ku
357941000009109,Chronic renal failure,ku
357941000009109,CRF,ku
357941000009109,โรคไตเรื้อรัง,ku
357951000009107,Chronic renal failure,ku
357951000009107,CRF,ku
357951000009107,โรคไตเรื้อรัง,ku
357961000009105,Chronic renal failure,ku
357961000009105,CRF,ku
357961000009105,โรคไตเรื้อรัง,ku
14669001,ไตวายเฉียบพลัน,ku
14669001,AKI,ku
352621000009109,โรคทางเดินปัสสาวะส่วนล่างในแมว (FLUTD),ku
352621000009109,FLUTD,ku
370495001,โรคทางเดินปัสสาวะส่วนล่างในแมว (FLUTD),ku
370495001,FLUTD,ku
34436003,ปัสสาวะเป็นเลือด,ku
34436003,Hematuria,ku
49650001,ปัสสาวะขัด,ku
49650001,ปัสสาวะลำบาก,ku
49650001,Dysuria,ku
102835006,เบ่งปัสสาวะ,ku
102835006,ปัสสาวะกะปริดกะปรอย,ku
102835006,Stranguria,ku
28442001,ปัสสาวะมาก,ku
139104001,กินน้ำมาก,ku
139104001,ทานน้ำเยอะ,ku
139104001,Polydipsia,ku
2472002,ไม่มีปัสสาวะ,ku
2472002,Anuria,ku
311741000009107,Patella luxation,ku
311741000009107,สะบ้าเคลื่อน,ku
157265008,Hip luxation,ku
157265008,ข้อสะโพกหลุด,ku
209629006,Cranial cruciated ligament rupture,ku
209629006,CCLR,ku
209629006,เอ็นเข่าขาด,ku
239725005,Cranial cruciated ligament rupture,ku
239725005,CCLR,ku
239725005,เอ็นเข่าขาด,ku
356391000009103,ขาเจ็บ,ku
356391000009103,กะเพลก,ku
356391000009103,เดินกะเพลก,ku
310961000009100,ขาเจ็บ,ku
310961000009100,กะเพลก,ku
310961000009100,เดินกะเพลก,ku
27090000,TCC,ku
27090000,Transitional cell carcinoma,ku
255109008,TCC,ku
255109008,Transitional cell carcinoma,ku
255109008,มะเร็งกระเพาะปัสสาวะ,ku
408642003,TCC,ku
408642003,Transitional cell carcinoma,ku
300988009,TCC,ku
300988009,Transitional cell carcinoma,ku
254656002,SCC,ku
254656002,Squamous cell carcinoma,ku
254656002,มะเร็งเซลล์ผิวหนัง,ku
254701007,SCC,ku
254701007,Squamous cell carcinoma,ku
254701007,มะเร็งเซลล์ผิวหนัง,ku
362811000009106,Lymphoma,ku
362811000009106,ลิมโฟมา,ku
362811000009106,มะเร็งต่อมน้ำเหลือง,ku
25374005,Gastroenteritis,ku
25374005,กระเพาะอาหารและลำไส้อักเสบ,ku
274080003,Gastroenteritis,ku
274080003,กระเพาะอาหารและลำไส้อักเสบ,ku
197456007,Pancreatitis,ku
197456007,ตับอ่อนอักเสบ,ku
235494005,Pancreatitis,ku
235494005,ตับอ่อนอักเสบ,ku
33688009,Cholestasis,ku
33688009,ภาวะน้ำดีคั่ง,ku
33688009,Hepatobiliary disease,ku
33688009,Hepatobiliary dZ,ku
33688009,โรคตับและทางเดินน้ำดี,ku
370489002,Cholangiohepatitis,ku
370489002,Hepatitis,ku
370489002,ตับอักเสบ,ku
277711000009103,Centrilobular hepatitis,ku
277711000009103,Hepatitis,ku
277711000009103,ตับอักเสบ,ku
62315008,ท้องเสีย,ku
62315008,ถ่ายเหลว,ku
308191000009107,ท้องเสียถ่ายเหลวเฉียบพลันลำไส้ใหญ่,ku
308201000009109,ท้องเสียถ่ายเหลวเฉียบพลันลำไส้เล็ก,ku
291011000009101,ถ่ายเป็นเลือด,ku
291011000009101,ท้องเสียเป็นเลือด,ku
291011000009101,Bloody diarrhea,ku
422400008,อ้วก,ku
422400008,อาเจียน,ku
23971007,อาเจียนเฉียบพลัน,ku
63722008,อาเจียนเรื้อรัง,ku
71419002,อาเจียนเป็นน้ำดี,ku
8765009,อาเจียนเป็นเลือด,ku
8765009,Hematemesis,ku
79890006,ถ่ายดำ,ku
79890006,ถ่ายอุจจาระสีดำ,ku
79890006,Anorexia,ku
79890006,เบื่ออาหาร,ku
405729008,ถ่ายเป็นเลือดสด,ku
18165001,ตัวเหลือง,ku
18165001,ตาเหลือง,ku
18165001,ดีซ่าน,ku
